"","species","family","status","time"
"105","Nepeta_cataria","Lamiaceae","archeophyte",7500
"106","Neslia_paniculata","Brassicaceae","archeophyte",1000
"107","Nigella_arvensis","Ranunculaceae","archeophyte",5500
"108","Onopordum_acanthium","Asteraceae","archeophyte",1750
"109","Orlaya_grandiflora","Apiaceae","archeophyte",1750
"110","Orobanche_ramosa","Orobanchaceae","archeophyte",2500
"111","Papaver_argemone","Papaveraceae","archeophyte",5500
"112","Papaver_dubium","Papaveraceae","archeophyte",6000
"113","Papaver_hybridum","Papaveraceae","archeophyte",2000
"114","Papaver_rhoeas","Papaveraceae","archeophyte",6000
"115","Parietaria_judaica","Urticaceae","archeophyte",2000
"116","Plantago_lanceolata","Plantaginaceae","archeophyte",2500
"117","Portulaca_oleracea","Portulacaceae","archeophyte",2500
"118","Potentilla_recta","Rosaceae","archeophyte",1000
"119","Ranunculus_arvensis","Ranunculaceae","archeophyte",6000
"120","Rapistrum_rugosum","Brassicaceae","archeophyte",1000
"121","Reseda_lutea","Resedaceae","archeophyte",2500
"122","Reseda_luteola","Resedaceae","archeophyte",6000
"123","Rumex_pulcher","Polygonaceae","archeophyte",1000
"124","Ruta_graveolens","Rutaceae","archeophyte",2000
"125","Salvia_officinalis","Lamiaceae","archeophyte",800
"126","Scandix_pecten_veneris","Apiaceae","archeophyte",750
"127","Setaria_pumila","Poaceae","archeophyte",5100
"128","Setaria_verticillata","Poaceae","archeophyte",2000
"129","Setaria_viridis","Poaceae","archeophyte",6000
"130","Silene_cretica","Caryophyllaceae","archeophyte",5500
"131","Silene_linicola","Caryophyllaceae","archeophyte",6000
"132","Silene_noctiflora","Caryophyllaceae","archeophyte",2500
"133","Sinapis_arvensis","Brassicaceae","archeophyte",2500
"134","Sisymbrium_officinale","Brassicaceae","archeophyte",2000
"135","Solanum_nigrum","Solanaceae","archeophyte",7500
"136","Spergula_arvensis","Caryophyllaceae","archeophyte",2450
"137","Stachys_annua","Lamiaceae","archeophyte",6100
"138","Stachys_arvensis","Lamiaceae","archeophyte",6000
"139","Stellaria_pallida","Caryophyllaceae","archeophyte",6000
"140","Tanacetum_vulgare","Asteraceae","archeophyte",1750
"141","Teucrium_botrys","Lamiaceae","archeophyte",2500
"142","Thlaspi_arvense","Brassicaceae","archeophyte",4000
"143","Thymus_vulgaris","Lamiaceae","archeophyte",2000
"144","Torilis_arvensis","Apiaceae","archeophyte",2500
"145","Tripleurospermum_perforatum","Asteraceae","archeophyte",1850
"146","Urtica_urens","Urticaceae","archeophyte",6000
"147","Vaccaria_hispanica","Caryophyllaceae","archeophyte",3000
"148","Valerianella_locusta","Valerianaceae","archeophyte",6000
"149","Verbena_officinalis","Verbenaceae","archeophyte",6100
"150","Veronica_agrestis","Scrophulariaceae","archeophyte",4000
"151","Veronica_arvensis","Scrophulariaceae","archeophyte",6000
"152","Veronica_polita","Scrophulariaceae","archeophyte",3000
"153","Veronica_triphyllos","Scrophulariaceae","archeophyte",2200
"154","Vicia_angustifolia","Fabaceae","archeophyte",4000
"155","Viola_arvensis","Violaceae","archeophyte",5500
"156","Vitis_vinifera","Vitaceae","archeophyte",2000
"157","Xanthium_strumarium","Asteraceae","archeophyte",2500
"158","Acer_negundo","Aceraceae","neophyte",301
"159","Achillea_crithmifolia","Asteraceae","neophyte",103
"160","Achillea_roseoalba","Asteraceae","neophyte",38
"161","Acorus_calamus","Acoraceae","neophyte",450
"162","Aesculus_hippocastanum","Hippocastanaceae","neophyte",450
"163","Agrostis_castellana","Poaceae","neophyte",40
"164","Ailanthus_altissima","Simaroubaceae","neophyte",220
"165","Alchemilla_mollis","Rosaceae","neophyte",100
"166","Allium_nigrum","Liliaceae","neophyte",140
"167","Allium_paradoxum","Liliaceae","neophyte",125
"168","Alyssum_murale","Brassicaceae","neophyte",50
"169","Amaranthus_albus","Amaranthaceae","neophyte",120
"170","Amaranthus_blitoides","Amaranthaceae","neophyte",107
"171","Amaranthus_bouchonii","Amaranthaceae","neophyte",68
"172","Amaranthus_cruentus","Amaranthaceae","neophyte",157
"173","Amaranthus_deflexus","Amaranthaceae","neophyte",111
"174","Amaranthus_graecizans","Amaranthaceae","neophyte",174
"175","Amaranthus_hybridus","Amaranthaceae","neophyte",50
"176","Amaranthus_powellii","Amaranthaceae","neophyte",109
"177","Amaranthus_retroflexus","Amaranthaceae","neophyte",185
"178","Ambrosia_artemisiifolia","Asteraceae","neophyte",75
"179","Ambrosia_coronopifolia","Asteraceae","neophyte",103
"180","Ambrosia_trifida","Asteraceae","neophyte",100
"181","Amelanchier_lamarckii","Rosaceae","neophyte",150
"182","Amorpha_fruticosa","Fabaceae","neophyte",250
"183","Anchusa_azurea","Boraginaceae","neophyte",450
"184","Anthoxanthum_aristatum","Poaceae","neophyte",150
"185","Antirrhinum_majus","Scrophulariaceae","neophyte",550
"186","Apera_interrupta","Poaceae","neophyte",112
"187","Arabis_caucasica","Brassicaceae","neophyte",200
"188","Armoracia_rusticana","Brassicaceae","neophyte",406
"189","Artemisia_annua","Asteraceae","neophyte",110
"190","Artemisia_austriaca","Asteraceae","neophyte",128
"191","Artemisia_biennis","Asteraceae","neophyte",106
"192","Artemisia_dracunculus","Asteraceae","neophyte",450
"193","Artemisia_tournefortiana","Asteraceae","neophyte",142
"194","Artemisia_verlotiorum","Asteraceae","neophyte",80
"195","Asclepias_syriaca","Apocynaceae","neophyte",150
"196","Aster_laevis","Asteraceae","neophyte",150
"197","Aster_novae_angliae","Asteraceae","neophyte",150
"198","Aster_parviflorus","Asteraceae","neophyte",264
"199","Aster_x_salignus","Asteraceae","neophyte",220
"200","Aster_x_versicolor","Asteraceae","neophyte",113
"201","Atriplex_hortensis","Chenopodiaceae","neophyte",48
"202","Atriplex_micrantha","Chenopodiaceae","neophyte",66
"203","Atriplex_nitens","Chenopodiaceae","neophyte",187
"204","Avena_sterilis","Poaceae","archeophyte",5600
"205","Avena_strigosa","Poaceae","neophyte",118
"206","Azolla_filiculoides","Azollaceae","neophyte",130
"207","Barbarea_intermedia","Brassicaceae","neophyte",135
"208","Barbarea_verna","Brassicaceae","neophyte",151
"209","Berteroa_incana","Brassicaceae","neophyte",250
"210","Bidens_connata","Asteraceae","neophyte",135
"211","Bidens_frondosa","Asteraceae","neophyte",109
"212","Bifora_radians","Apiaceae","neophyte",120
"213","Brassica_napus","Brassicaceae","neophyte",500
"214","Brassica_nigra","Brassicaceae","neophyte",450
"215","Brassica_rapa","Brassicaceae","archeophyte",6000
"216","Bromus_carinatus","Poaceae","neophyte",68
"217","Bromus_catharticus","Poaceae","neophyte",116
"218","Bromus_grossus","Poaceae","neophyte",174
"219","Bromus_japonicus","Poaceae","neophyte",176
"220","Bromus_squarrosus","Poaceae","neophyte",201
"221","Buddleja_davidii","Buddlejaceae","neophyte",55
"222","Bunias_orientalis","Brassicaceae","neophyte",250
"223","Calystegia_pulchra","Convolvulaceae","neophyte",14
"224","Campanula_rhomboidalis","Campanulaceae","neophyte",174
"225","Cannabis_sativa","Cannabaceae","archeophyte",2450
"226","Cardaria_draba","Brassicaceae","neophyte",272
"227","Carex_vulpinoidea","Cyperaceae","neophyte",69
"228","Carlina_acanthifolia","Asteraceae","neophyte",24
"229","Catapodium_rigidum","Poaceae","neophyte",97
"230","Celtis_occidentalis","Cannabaceae","neophyte",250
"231","Centaurea_calcitrapa","Asteraceae","neophyte",150
"232","Centaurea_diffusa","Asteraceae","neophyte",124
"233","Centaurea_nigrescens","Asteraceae","neophyte",150
"234","Centranthus_ruber","Valerianaceae","neophyte",174
"235","Cerastium_tomentosum","Caryophyllaceae","neophyte",450
"236","Chamaesyce_prostrata","Euphorbiaceae","neophyte",15
"237","Chenopodium_botrys","Chenopodiaceae","neophyte",150
"238","Chenopodium_foliosum","Chenopodiaceae","neophyte",90
"239","Chenopodium_pumilio","Chenopodiaceae","neophyte",110
"240","Chenopodium_strictum","Chenopodiaceae","neophyte",140
"241","Cicerbita_macrophylla","Asteraceae","neophyte",145
"242","Claytonia_perfoliata","Portulacaceae","neophyte",149
"243","Collomia_grandiflora","Polemoniaceae","neophyte",150
"244","Colutea_arborescens","Fabaceae","neophyte",150
"245","Consolida_ajacis","Ranunculaceae","neophyte",176
"246","Consolida_hispanica","Ranunculaceae","neophyte",56
"247","Conyza_bonariensis","Asteraceae","neophyte",253
"248","Conyza_canadensis","Asteraceae","neophyte",300
"249","Corispermum_leptopterum","Amaranthaceae","neophyte",151
"250","Corispermum_marschallii","Amaranthaceae","neophyte",164
"251","Cornus_sericea","Cornaceae","neophyte",139
"252","Coronopus_didymus","Brassicaceae","neophyte",192
"253","Cotinus_coggygria","Anacardiaceae","neophyte",450
"254","Cotoneaster_horizontalis","Rosaceae","neophyte",38
"255","Cotula_coronopifolia","Asteraceae","neophyte",262
"256","Crepis_setosa","Asteraceae","neophyte",250
"257","Cuscuta_campestris","Convolvulaceae","neophyte",102
"258","Cuscuta_gronovii","Convolvulaceae","neophyte",119
"259","Cuscuta_scandens","Convolvulaceae","neophyte",103
"260","Cuscuta_suaveolens","Convolvulaceae","neophyte",158
"261","Cydonia_oblonga","Rosaceae","neophyte",402
"262","Cymbalaria_muralis","Scrophulariaceae","neophyte",356
"263","Cynodon_dactylon","Poaceae","neophyte",203
"264","Cyperus_esculentus","Cyperaceae","neophyte",24
"265","Datura_stramonium","Solanaceae","neophyte",416
"266","Digitalis_lanata","Scrophulariaceae","neophyte",60
"267","Diplotaxis_muralis","Brassicaceae","neophyte",250
"268","Diplotaxis_tenuifolia","Brassicaceae","neophyte",232
"269","Diplotaxis_viminea","Brassicaceae","neophyte",187
"270","Dipsacus_laciniatus","Dipsacaceae","neophyte",202
"271","Dipsacus_strigosus","Dipsacaceae","neophyte",29
"272","Dittrichia_graveolens","Asteraceae","neophyte",50
"273","Duchesnea_indica","Rosaceae","neophyte",97
"274","Echinochloa_muricata","Poaceae","neophyte",85
"275","Echinocystis_lobata","Cucurbitaceae","neophyte",94
"276","Echinops_banaticus","Asteraceae","neophyte",80
"277","Echinops_exaltatus","Asteraceae","neophyte",150
"278","Egeria_densa","Hydrocharitaceae","neophyte",90
"279","Elodea_callitrichoides","Hydrocharitaceae","neophyte",36
"280","Elodea_canadensis","Hydrocharitaceae","neophyte",141
"281","Elodea_nuttallii","Hydrocharitaceae","neophyte",61
"282","Elymus_obtusiflorus","Poaceae","neophyte",17
"283","Epilobium_ciliatum","Onagraceae","neophyte",73
"284","Eragrostis_cilianensis","Poaceae","neophyte",187
"285","Eragrostis_curvula","Poaceae","neophyte",24
"286","Eragrostis_minor","Poaceae","neophyte",218
"287","Eragrostis_multicaulis","Poaceae","neophyte",175
"288","Eragrostis_pilosa","Poaceae","neophyte",143
"289","Eranthis_hyemalis","Ranunculaceae","neophyte",208
"290","Erigeron_annuus","Asteraceae","neophyte",250
"291","Erysimum_repandum","Brassicaceae","neophyte",113
"292","Fagopyrum_esculentum","Polygonaceae","neophyte",650
"293","Fallopia_aubertii","Polygonaceae","neophyte",150
"294","Fallopia_japonica","Polygonaceae","neophyte",128
"295","Fallopia_sachalinensis","Polygonaceae","neophyte",83
"296","Forsythia_spec","Oleaceae","neophyte",102
"297","Fraxinus_ornus","Oleaceae","neophyte",432
"298","Fraxinus_pennsylvanica","Oleaceae","neophyte",192
"299","Galega_officinalis","Fabaceae","neophyte",150
"300","Galinsoga_ciliata","Galinsoga","neophyte",150
"301","Galinsoga_parviflora","Galinsoga","neophyte",198
"302","Gaudinia_fragilis","Poaceae","neophyte",99
"303","Geranium_macrorrhizum","Geraniaceae","neophyte",180
"304","Geranium_purpureum","Geraniaceae","neophyte",110
"305","Geranium_pyrenaicum","Geraniaceae","neophyte",200
"306","Geranium_sibiricum","Geraniaceae","neophyte",159
"307","Gladiolus_communis","Iridaceae","neophyte",93
"308","Glyceria_striata","Poaceae","neophyte",29
"309","Groenlandia_densa","Potamogetonaceae","neophyte",430
"310","Helianthus_annuus","Asteraceae","neophyte",450
"311","Helianthus_tuberosus","Asteraceae","neophyte",170
"312","Heracleum_mantegazzianum","Apiaceae","neophyte",50
"313","Hesperis_matronalis","Brassicaceae","neophyte",450
"314","Hirschfeldia_incana","Brassicaceae","neophyte",150
"315","Hordeum_jubatum","Poaceae","neophyte",150
"316","Hyssopus_officinalis","Lamiaceae","neophyte",171
"317","Iberis_umbellata","Brassicaceae","neophyte",120
"318","Impatiens_glandulifera","Balsaminaceae","neophyte",146
"319","Impatiens_parviflora","Balsaminaceae","neophyte",163
"320","Iris_graminea","Iridaceae","neophyte",168
"321","Iris_sambucina","Iridaceae","neophyte",200
"322","Iva_xanthiifolia","Asteraceae","neophyte",140
"323","Juglans_regia","Juglandaceae","neophyte",2000
"324","Juncus_ensifolius","Juncaceae","neophyte",30
"325","Juncus_tenuis","Juncaceae","neophyte",166
"326","Laburnum_anagyroides","Fabaceae","neophyte",450
"327","Lagarosiphon_major","Hydrocharitaceae","neophyte",34
"328","Lamium_argentatum","Lamiaceae","neophyte",127
"329","Lathyrus_latifolius","Fabaceae","neophyte",77
"330","Lathyrus_sphaericus","Fabaceae","neophyte",67
"331","Lemna_minuta","Araceae","neophyte",27
"332","Lemna_turionifera","Araceae","neophyte",17
"333","Lepidium_densiflorum","Brassicaceae","neophyte",121
"334","Lepidium_heterophyllum","Brassicaceae","neophyte",67
"335","Lepidium_virginicum","Brassicaceae","neophyte",214
"336","Leucanthemella_serotina","Asteraceae","neophyte",92
"337","Leucojum_aestivum","Amaryllidaceae","neophyte",105
"338","Linaria_repens","Scrophulariaceae","neophyte",135
"339","Linum_austriacum","Linaceae","neophyte",140
"340","Lobularia_maritima","Brassicaceae","neophyte",145
"341","Lolium_multiflorum","Poaceae","neophyte",177
"342","Lunaria_annua","Brassicaceae","neophyte",190
"343","Lupinus_polyphyllus","Fabaceae","neophyte",150
"344","Lycium_barbarum","Solanaceae","neophyte",161
"345","Lysimachia_punctata","Primulaceae","neophyte",400
"346","Mahonia_aquifolium","Berberidaceae","neophyte",140
"347","Matricaria_discoidea","Asteraceae","neophyte",148
"348","Medicago_arabica","Fabaceae","neophyte",138
"349","Medicago_x_varia","Fabaceae","neophyte",402
"350","Melilotus_indicus","Fabaceae","neophyte",147
"351","Mimulus_guttatus","Phrymaceae","neophyte",170
"352","Myagrum_perfoliatum","Brassicaceae","neophyte",209
"353","Nicandra_physalodes","Solanaceae","neophyte",150
"354","Nonea_rosea","Boraginaceae","neophyte",92
"355","Oenothera_glazioviana","Onagraceae","neophyte",150
"356","Oenothera_oakesiana","Onagraceae","neophyte",386
"357","Omphalodes_verna","Boraginaceae","neophyte",250
"358","Onobrychis_viciifolia","Fabaceae","neophyte",278
"359","Ononis_natrix","Fabaceae","neophyte",138
"360","Oxalis_corniculata","Oxalidaceae","neophyte",423
"361","Oxalis_dillenii","Oxalidaceae","neophyte",39
"362","Oxalis_stricta","Oxalidaceae","neophyte",201
"363","Panicum_capillare","Poaceae","neophyte",109
"364","Panicum_dichotomiflorum","Poaceae","neophyte",111
"365","Panicum_miliaceum","Poaceae","neophyte",5100
"366","Papaver_somniferum","Papaveraceae","neophyte",6000
"367","Parthenocissus_inserta","Vitaceae","neophyte",116
"368","Philadelphus_coronarius","Saxifragaceae","neophyte",332
"369","Physocarpus_opulifolius","Rosaceae","neophyte",150
"370","Phytolacca_americana","Phytolaccaceae","neophyte",450
"371","Phytolacca_esculenta","Phytolaccaceae","neophyte",150
"372","Picris_echioides","Asteraceae","neophyte",140
"373","Pinus_nigra","Pinaceae","neophyte",212
"374","Plantago_arenaria","Plantaginaceae","neophyte",182
"375","Platanus_x_hispanica","Platanaceae","neophyte",120
"376","Populus_x_canadensis","Salicaceae","neophyte",300
"377","Potentilla_inclinata","Rosaceae","neophyte",201
"378","Potentilla_intermedia","Rosaceae","neophyte",175
"379","Potentilla_norvegica","Rosaceae","neophyte",168
"380","Prunus_cerasifera","Rosaceae","neophyte",1500
"381","Prunus_cerasus","Rosaceae","neophyte",1500
"382","Prunus_domestica","Rosaceae","neophyte",2000
"383","Prunus_serotina","Rosaceae","neophyte",200
"384","Pseudofumaria_lutea","Fumariaceae","neophyte",450
"385","Pseudotsuga_menziesii","Pinaceae","neophyte",173
"386","Quercus_rubra","Fagaceae","neophyte",276
"387","Raphanus_raphanistrum","Brassicaceae","neophyte",4000
"388","Robinia_pseudoacacia","Fabaceae","neophyte",176
"389","Rosa_rugosa","Rosaceae","neophyte",125
"390","Rubus_armeniacus","Rosaceae","neophyte",140
"391","Rubus_laciniatus","Rosaceae","neophyte",350
"392","Rubus_odoratus","Rosaceae","neophyte",350
"393","Rudbeckia_hirta","Asteraceae","neophyte",140
"394","Rudbeckia_laciniata","Asteraceae","neophyte",210
