"","species","family","status","time"
"477","Chamaesyce_humifusa","Euphorbiaceae","ornamental_plant",120
"478","Chamaesyce_maculata","Euphorbiaceae","ornamental_plant",206
"479","Chamaesyce_nutans","Euphorbiaceae","ornamental_plant",50
"480","Chrysanthemum_indicum","Asteraceae","ornamental_plant",200
"481","Cichorium_endivia","Asteraceae","ornamental_plant",67
"482","Cleome_spinosa","Capparaceae","ornamental_plant",87
"483","Consolida_ambigua","Ranunculaceae","ornamental_plant",176
"484","Cornus_alba","Cornaceae","ornamental_plant",222
"485","Corylus_maxima","Betulaceae","ornamental_plant",2000
"486","Cotoneaster_dammeri","Rosaceae","ornamental_plant",35
"487","Crataegus_submollis","Rosaceae","ornamental_plant",116
"488","Cucumis_sativus","Cucurbitaceae","ornamental_plant",700
"489","Cucurbita_pepo","Cucurbitaceae","ornamental_plant",410
"490","Datura_x_candida","Solanaceae","ornamental_plant",140
"491","Dianthus_barbatus","Caryophyllaceae","ornamental_plant",450
"492","Elaeagnus_angustifolia","Elaeagnaceae","ornamental_plant",252
"493","Erica_herbacea","Ericaceae","ornamental_plant",90
"494","Foeniculum_vulgare","Apiaceae","ornamental_plant",1800
"495","Fragaria_x_ananassa","Rosaceae","ornamental_plant",285
"496","Fuchsia_Hybriden","Onagraceae","ornamental_plant",28
"497","Genista_lydia","Fabaceae","ornamental_plant",30
"498","Glycine_max","Fabaceae","ornamental_plant",130
"499","Godetia_grandiflora","Onagraceae","ornamental_plant",140
"500","Hordeum_distichon","Poaceae","ornamental_plant",450
"501","Hydrangea_macrophylla","Saxifragaceae","ornamental_plant",220
"502","Impatiens_walleriana","Balsaminaceae","ornamental_plant",120
"503","Juniperus_chinensis","Cupressaceae","ornamental_plant",140
"504","Lathyrus_odoratus","Fabaceae","ornamental_plant",120
"505","Lavandula_angustifolia","Lamiaceae","ornamental_plant",700
"506","Levisticum_officinale","Apiaceae","ornamental_plant",1150
"507","Ligustrum_ovalifolium","Oleaceae","ornamental_plant",90
"508","Lonicera_tatarica","Caprifoliaceae","ornamental_plant",222
"509","Narcissus_poeticus","Amaryllidaceae","ornamental_plant",1800
"510","Narcissus_radiiflorus","Amaryllidaceae","ornamental_plant",193
"511","Nerium_oleander","Apocynaceae","ornamental_plant",150
"512","Nicotiana_tabacum","Solanaceae","ornamental_plant",440
"513","Nicotiana_x_sanderae","Solanaceae","ornamental_plant",40
"514","Ocimum_basilicum","Lamiaceae","ornamental_plant",1000
"515","Oenanthe_silaifolia","Apiaceae","ornamental_plant",10
"516","Oenothera_biennis","Onagraceae","ornamental_plant",350
"517","Oenothera_parviflora","Onagraceae","ornamental_plant",386
"518","Paeonia_officinalis","Paeoniaceae","ornamental_plant",700
"519","Pelargonium_peltatum_Gruppe","Geraniaceae","ornamental_plant",150
"520","Pelargonium_zonale_Gruppe","Geraniaceae","ornamental_plant",150
"521","Persicaria_dubia","Polygonaceae","ornamental_plant",400
"522","Petroselinum_crispum","Apiaceae","ornamental_plant",600
"523","Phacelia_tanacetifolia","Hydrophyllaceae","ornamental_plant",110
"524","Phaseolus_vulgaris","Fabaceae","ornamental_plant",450
"525","Pinus_parvifolia","Pinaceae","ornamental_plant",120
"526","Pinus_strobus","Pinaceae","ornamental_plant",222
"527","Pinus_wallichiana","Pinaceae","ornamental_plant",90
"528","Pisum_sativum","Fabaceae","ornamental_plant",5100
"529","Populus_balsamifera","Salicaceae","ornamental_plant",93
"530","Populus_trichocarpa","Salicaceae","ornamental_plant",9
"531","Populus_x_gileadensis","Salicaceae","ornamental_plant",53
"532","Potentilla_fruticosa","Rosaceae","ornamental_plant",252
"533","Primula_obconica","Primulaceae","ornamental_plant",99
"534","Prunus_armeniaca","Rosaceae","ornamental_plant",2000
"535","Prunus_dulcis","Rosaceae","ornamental_plant",600
"536","Prunus_laurocerasus","Rosaceae","ornamental_plant",350
"537","Prunus_persica","Rosaceae","ornamental_plant",2000
"538","Prunus_serrulata","Rosaceae","ornamental_plant",19
"539","Pyracantha_coccinea","Rosaceae","ornamental_plant",322
"540","Quercus_cerris","Fagaceae","ornamental_plant",192
"541","Raphanus_sativus","Brassicaceae","ornamental_plant",2000
"542","Rheum_rhabarbarum","Polygonaceae","ornamental_plant",230
"543","Rhododendron_ponticum","Ericaceae","ornamental_plant",200
"544","Ribes_aureum","Saxifragaceae","ornamental_plant",172
"545","Ribes_x_nidigrolaria","Saxifragaceae","ornamental_plant",23
"546","Rumex_rugosus","Polygonaceae","ornamental_plant",21
"547","Salix_babylonica","Salicaceae","ornamental_plant",300
"548","Salix_sachalinensis","Salicaceae","ornamental_plant",21
"549","Secale_cereale","Poaceae","ornamental_plant",7500
"550","Sequoia_gigantea","Taxodiaceae","ornamental_plant",130
"551","Sisyrinchium_bermudiana","Iridaceae","ornamental_plant",150
"552","Solanum_rantonetti","Solanaceae","ornamental_plant",22
"553","Solanum_tuberosum","Solanaceae","ornamental_plant",402
"554","Sophora_japonica","Fabaceae","ornamental_plant",120
"555","Sorbaria_sorbifolia","Rosaceae","ornamental_plant",192
"556","Symphoricarpos_x_chenaultii","Caprifoliaceae","ornamental_plant",50
"557","Tamarix_gallica","Tamaricaceae","ornamental_plant",151
"558","Tilia_x_euchloria","Tiliaceae","ornamental_plant",128
"559","Trifolium_alexandrinum","Fabaceae","ornamental_plant",50
"560","Triticum_aestivum","Poaceae","ornamental_plant",7500
"561","Tropaeolum_Hybriden","Tropaeolaceae","ornamental_plant",93
"562","Ulmus_x_hollandica","Ulmaceae","ornamental_plant",100
"563","Vaccinium_corymbosum","Ericaceae","ornamental_plant",30
"564","Viburnum_tinus","Caprifoliaceae","ornamental_plant",110
"565","Vicia_faba","Fabaceae","ornamental_plant",2000
"566","Viola_wittrockiana_Hybriden","Violaceae","ornamental_plant",120
"567","Weigelia_florida","Caprifoliaceae","ornamental_plant",150
"568","Zea_mays","Poaceae","ornamental_plant",475
